접수일,회사명,종목코드,공시유형,방향,현재가·종가(원),시가(원),전일대비(%),공시금액(원),시가총액(원),시총대비(%),주식비율(%),희석비율(%),매출대비계약(%),공시상태,요약,원문URL
2026-09-09,레이,228670,최대주주 변경,판단 유보,4600,4600,0.0,,71900000000,,,,,정정,최대주주 변경은 경영권과 사업전략 변화 가능성을 높이지만 인수주체와 자금출처 검증이 필요합니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909900297
2026-09-09,HS화성,002460,대규모 공급계약,긍정,10700,10700,0.0,129583401200,110600000000,117.164,,,19.6,신규,"대규모 공급계약은 매출 가시성을 높일 수 있지만 계약규모, 기간, 해지조건과 상대방 위험을 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909800170
2026-09-09,AP시스템,265520,자사주 처분,부정,18810,18900,0.0,,284500000000,,,,,신규,자기주식 처분은 매각 목적과 물량에 따라 주식 공급 부담이 될 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000128
2026-09-09,티피씨글로벌,130740,자사주 처분,부정,1987,1987,0.0,,22500000000,,,,,신규,자기주식 처분은 매각 목적과 물량에 따라 주식 공급 부담이 될 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000110
2026-09-09,쎄노텍,222420,자사주 취득,긍정,936,936,0.0,1000000000,44400000000,2.252,,,,신규,자기주식 취득은 주주환원 신호지만 실제 소각 여부와 취득 규모를 함께 봐야 합니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000132
2026-09-09,뷰웍스,100120,자사주 처분,부정,26450,26450,0.0,,239100000000,,,,,신규,자기주식 처분은 매각 목적과 물량에 따라 주식 공급 부담이 될 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000150
2026-09-09,휴메딕스,200670,자사주 처분,부정,26550,26550,0.0,,298200000000,,,,,신규,자기주식 처분은 매각 목적과 물량에 따라 주식 공급 부담이 될 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000145
2026-09-09,이노테나,333050,자사주 취득,긍정,5160,5160,0.0,,26100000000,,,,,신규,자기주식 취득은 주주환원 신호지만 실제 소각 여부와 취득 규모를 함께 봐야 합니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000019
2026-09-09,에이피알,278470,합병·주식교환,판단 유보,368500,368500,0.0,,13814700000000,,,,,신규,합병·주식교환은 교환비율과 지배구조 변화에 따라 주주별 이해관계가 달라집니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000045
2026-09-09,대우건설,047040,대규모 공급계약,긍정,19450,19450,0.0,413427140419,8209900000000,5.036,,,5.13,신규,"대규모 공급계약은 매출 가시성을 높일 수 있지만 계약규모, 기간, 해지조건과 상대방 위험을 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909800091
2026-09-09,동부건설,005960,대규모 공급계약,긍정,7830,7830,0.0,275618093612,181700000000,151.689,,,15.67,신규,"대규모 공급계약은 매출 가시성을 높일 수 있지만 계약규모, 기간, 해지조건과 상대방 위험을 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909800119
2026-09-09,에이피알,278470,합병·주식교환,판단 유보,368500,368500,0.0,,13814700000000,,,,,신규,합병·주식교환은 교환비율과 지배구조 변화에 따라 주주별 이해관계가 달라집니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909800113
2026-09-09,HDC,012630,대규모 공급계약,긍정,24700,25050,0.0,394627500000,1454700000000,27.128,,,,정정,"대규모 공급계약은 매출 가시성을 높일 수 있지만 계약규모, 기간, 해지조건과 상대방 위험을 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909800115
2026-09-09,IPARK현대산업개발,294870,대규모 공급계약,긍정,23550,23700,0.0,394627500000,1542200000000,25.589,,,,정정,"대규모 공급계약은 매출 가시성을 높일 수 있지만 계약규모, 기간, 해지조건과 상대방 위험을 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909800105
